阿富汗,AF,+93
阿爾巴尼亞,AL,+355
阿爾及利亞,DZ,+213
美屬薩摩亞,AS,+1 684
安道爾,AD,+376
安哥拉,AO,+244
安圭拉,AI,+1 264
南極洲,AQ,+672
安地瓜島,AG,+1 268
阿根廷,AR,+54
亞美尼亞,AM,+374
阿盧巴,AW,+297
澳大利亞,AU,+61
奧地利,AT,+43
亞塞拜然共和國,AZ,+994
巴哈馬,BS,+1 242
巴林島,BH,+973
孟加拉,BD,+880
巴佩道斯,BB,+1 246
白俄羅斯共和國,BY,+375
比利時,BE,+32
貝里斯,BZ,+501
貝寧,BJ,+229
百慕達,BM,+1 441
不丹,BT,+975
玻利維亞,BO,+591
波西尼亞和黑塞哥維那,BA,+387
波札那,BW,+267
布維島,BV,+47
巴西,BR,+55
汶萊,BN,+673
保加利亞,BG,+359
布基納法索,BF,+226
蒲隆地,BI,+257
柬埔寨,KH,+855
喀麥隆,CM,+237
加拿大,CA,+1
維德角共和國,CV,+238
柯曼島,CYM,+1 345
中非共和國,CF,+236
查德,TD,+235
智利,CL,+56
中國,CN,+86
哥倫比亞,CO,+57
科摩羅群島,KM,+269
剛果,CG,+242
剛果民主共和國,CD,+243
庫克島,CK,+682
哥斯大黎加,CR,+506
克羅埃西亞共和國,HR,+385
古巴,CU,+53
塞普勒斯,CY,+357
捷克共和國,CZ,+420
丹麥,DK,+45
吉布地共和國,DJ,+253
多明尼克島,DM,+1 767
多米尼加共和國,DO,+1 809
厄瓜多爾,EC,+593
埃及,EG,+20
薩爾瓦多,SV,+503
赤道幾內亞,GQ,+240
厄利埵亞,ER,+291
愛沙尼亞,EE,+372
衣索匹亞,ET,+251
斐濟,FJ,+679
芬蘭,FI,+358
法國,FR,+33
法屬圭亞那,GF,+594
甘比亞,GM,+220
喬治亞共和國,GE,+995
德國,DE,+49
迦納,GH,+233
直布羅陀,GI,+350
希臘,GR,+30
格瑞那達,GD,+1 473
哥德洛普,GP,+590
瓜地馬拉,GT,+502
幾內亞共和國,GN,+224
幾內亞比索,GW,+245
蓋亞那,GY,+592
海地,HT,+509
洪都拉斯,HN,+504
香港,HK,+852
匈牙利,HU,+36
冰島,IS,+354
印度,IN,+91
印尼,ID,+62
伊朗,IR,+98
伊拉克,IQ,+964
愛爾蘭,IE,+353
以色列,IL,+972
意大利,IT,+39
牙買加,JM,+1 876
日本,JP,+81
約旦,JO,+962
哈薩克共和國,KZ,+7
肯亞,KE,+254
科威特,KW,+965
吉爾吉斯,KG,+996
寮國,LA,+856
拉脫維亞,LV,+371
黎巴嫩,LB,+961
賴索托,LS,+266
利比亞,LY,+218
列支敦士登,LI,+423
立陶宛,LT,+370
盧森堡,LU,+352
澳門,MO,+853
馬其頓,MK,+389
馬達加斯加,MG,+261
馬拉威,MW,+265
馬來西亞,MY,+60
馬爾地夫島,MV,+960
馬利,ML,+223
馬爾他,MT,+356
馬丁尼克島,MQ,+596
茅里塔尼亞,MR,+222
模里西斯島,MU,+230
墨西哥,MX,+52
摩爾達維亞,MD,+373
摩納哥,MC,+377
蒙古,MN,+976
蒙特內哥羅,ME,+382
摩洛哥,MA,+212
莫三比克,MZ,+258
緬甸,MM,+95
納米比亞,NA,+264
那烏魯島,NR,+674
尼泊爾,NP,+977
荷蘭,NL,+31
紐西蘭,NZ,+64
尼加拉瓜,NI,+505
奈及利亞,NG,+234
北韓,KP,+850
挪威,NO,+47
阿曼,OM,+968
巴基斯坦,PK,+92
巴拿馬,PA,+507
巴布亞新幾內亞,PG,+675
巴拉圭,PY,+595
秘魯,PE,+51
菲律賓,PH,+63
波蘭,PL,+48
葡萄牙,PT,+351
波多黎各,PR,+1 787
卡達,QA,+974
羅馬尼亞,RO,+40
俄羅斯聯邦,RU,+7
盧安達 ,RW,+250
西屬薩摩亞,WS,+685
聖馬利諾,SM,+378
沙烏地阿拉伯,SA,+966
塞內加爾,SN,+221
塞爾維亞,RS,+381
塞昔爾島,SC,+248
獅子山國,SL,+232
新加坡,SG,+65
斯洛伐克,SK,+421
斯洛維尼亞共和國,SI,+386
南非,ZA,+27
南韓,KR,+82
西班牙,ES,+34
斯里蘭卡,LK,+94
蘇丹,SD,+249
蘇利南,SR,+597
史瓦濟蘭,SZ,+268
瑞典,SE,+46
瑞士,CH,+41
敘利亞,SY,+963
台灣,TW,+886
塔吉克共和國,TJ,+992
坦桑尼亞,TZ,+255
泰國,TH,+66
東帝汶,TL,+670
多哥,TG,+228
突尼西亞 ,TN,+216
土耳其,TR,+90
土庫曼共和國 ,TM,+993
烏干達,UG,+256
烏克蘭,UA,+380
阿拉伯聯合大公國 ,AE,+971
英國,GB,+44
美國,US,+1
烏拉圭,UY,+598
烏茲別克,UZ,+998
瓦努阿圖,VU,+678
越南,VN,+84
葉門,YE,+967
尚比亞 ,ZM,+260
辛巴威,ZW,+263
